image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_32_15.jpg,100,0.7482571000872422,931,2326,1656,2866
VAIPE_P_153_0.jpg,10,0.7154859699277961,340,611,483,820
VAIPE_P_153_0.jpg,10,0.9324676169433176,485,593,580,807
VAIPE_P_132_0.jpg,43,0.865855868067688,1094,1651,1927,2018
VAIPE_P_132_0.jpg,43,0.7962397253628704,705,1912,1226,2752
VAIPE_P_132_0.jpg,91,0.8067750567908349,1125,2088,1797,2473
VAIPE_P_85_8.jpg,52,0.7057317056726389,386,306,505,494
VAIPE_P_85_8.jpg,8,0.7129189017468337,351,483,450,544
VAIPE_P_85_8.jpg,69,0.9321280989748639,312,537,530,639
VAIPE_P_22_7.jpg,73,0.937464922944297,754,1803,1280,2109
VAIPE_P_22_7.jpg,89,0.8485565877232346,481,2079,1207,2731
VAIPE_P_22_7.jpg,89,0.744431335947361,1177,2049,1852,2701
VAIPE_P_22_7.jpg,27,0.8793061146727503,875,2759,1553,3263
VAIPE_P_22_7.jpg,2,0.8201165196205202,1107,2384,1818,3132
VAIPE_P_22_7.jpg,2,0.7820299747478148,1643,2100,2318,2780
VAIPE_P_22_7.jpg,73,0.8009016543602757,1696,2612,2106,2921
VAIPE_P_144_3.jpg,91,0.9419967883458126,1101,1515,1617,2258
VAIPE_P_144_3.jpg,2,0.840594804139684,1457,1371,2098,2381
VAIPE_P_144_3.jpg,19,0.9569729945228169,1141,2482,1892,3430
VAIPE_P_168_16.jpg,60,0.8270969921355162,1493,2034,1838,2351
VAIPE_P_168_16.jpg,23,0.97728908082655,1262,2354,1578,2767
VAIPE_P_168_16.jpg,107,0.8409967111619497,1108,1743,1439,2086
VAIPE_P_93_1.jpg,31,0.826285751878591,177,552,240,603
VAIPE_P_93_1.jpg,64,0.8947522495492863,353,455,470,556
VAIPE_P_93_1.jpg,22,0.8079889265480381,340,618,398,713
VAIPE_P_159_19.jpg,29,0.9636154030379793,1441,2829,1833,3074
VAIPE_P_159_19.jpg,91,0.9757125139187847,1313,1845,1614,2401
VAIPE_P_159_19.jpg,107,0.9676629062535844,1048,2086,1343,2377
VAIPE_P_159_19.jpg,107,0.9670496339829784,986,1387,1358,2050
VAIPE_P_161_3.jpg,105,0.872205269104273,198,402,281,554
VAIPE_P_161_3.jpg,91,0.7659708865177408,424,394,513,514
VAIPE_P_161_3.jpg,26,0.8646364176798098,311,627,383,812
VAIPE_P_160_5.jpg,107,0.9369292161412287,1152,2198,1551,2581
VAIPE_P_160_5.jpg,107,0.7580188905664692,628,2226,999,2633
VAIPE_P_5_6.jpg,58,0.97677930257163,1019,1877,1750,2379
VAIPE_P_34_5.jpg,107,0.7232968735395263,2204,2067,2815,2721
VAIPE_P_34_5.jpg,107,0.8386837090807305,1597,1444,2044,2117
VAIPE_P_34_5.jpg,107,0.9200656390839356,1442,2418,1972,2983
VAIPE_P_34_5.jpg,107,0.8475377354579443,1940,3095,2526,3727
VAIPE_P_34_5.jpg,107,0.8847834886595156,739,2925,1264,3578
VAIPE_P_34_5.jpg,107,0.8422366656021334,634,1739,1284,2651
VAIPE_P_120_10.jpg,64,0.7214140776208997,1093,1234,1688,1811
VAIPE_P_120_10.jpg,64,0.9151036799659185,1432,1982,2062,2591
VAIPE_P_32_13.jpg,25,0.7562574962674624,1168,1829,1799,2532
VAIPE_P_15_1.jpg,54,0.8494216052780117,1151,2138,1704,2654
VAIPE_P_15_1.jpg,37,0.8570048313992069,1129,1799,1434,2276
VAIPE_P_73_13.jpg,57,0.9144599418749266,1155,2022,1841,2756
VAIPE_P_29_6.jpg,107,0.7133071449682484,624,1732,1123,2170
VAIPE_P_29_6.jpg,107,0.7539299975745635,1296,3381,1766,3830
VAIPE_P_29_6.jpg,107,0.8966735479562374,1346,1340,1673,2134
VAIPE_P_29_6.jpg,107,0.8831980121255476,1654,2681,1968,3015
VAIPE_P_29_6.jpg,107,0.9788522249301217,796,2559,1320,3103
VAIPE_P_29_6.jpg,107,0.7713660710697234,1739,1814,2200,2141
